Indicador;Comunidad autónoma;Grupos de gasto;periodo;Total
PORCENTAJE;Canarias;Libro y publicaciones periódicas;2016;20,0
PORCENTAJE;Canarias;Servicios culturales;2023;18,7
PORCENTAJE;Canarias;Servicios culturales;2022;11,3
PORCENTAJE;Canarias;Servicios culturales;2021;8,4
PORCENTAJE;Canarias;Servicios culturales;2020;5,3
PORCENTAJE;Canarias;Servicios culturales;2019;18,3
PORCENTAJE;Canarias;Servicios culturales;2018;12,4
PORCENTAJE;Canarias;Servicios culturales;2017;12,5
PORCENTAJE;Canarias;Servicios culturales;2016;14,8
PORCENTAJE;Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;30,9
PORCENTAJE;Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;37,8
PORCENTAJE;Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;37,1
PORCENTAJE;Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;37,1
PORCENTAJE;Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;27,2
PORCENTAJE;Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;26,4
PORCENTAJE;Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;23,8
PORCENTAJE;Canarias;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;23,1
PORCENTAJE;Canarias;Telefonía móvil y servicios relacionados con Internet;2023;35,3
PORCENTAJE;Canarias;Telefonía móvil y servicios relacionados con Internet;2022;39,9
PORCENTAJE;Canarias;Telefonía móvil y servicios relacionados con Internet;2021;40,3
PORCENTAJE;Canarias;Telefonía móvil y servicios relacionados con Internet;2020;45,4
PORCENTAJE;Canarias;Telefonía móvil y servicios relacionados con Internet;2019;41,0
PORCENTAJE;Canarias;Telefonía móvil y servicios relacionados con Internet;2018;44,2
PORCENTAJE;Canarias;Telefonía móvil y servicios relacionados con Internet;2017;49,0
PORCENTAJE;Canarias;Telefonía móvil y servicios relacionados con Internet;2016;42,1
PORCENTAJE;Cantabria;Libro y publicaciones periódicas;2023;23,6
PORCENTAJE;Cantabria;Libro y publicaciones periódicas;2022;19,7
PORCENTAJE;Cantabria;Libro y publicaciones periódicas;2021;20,3
PORCENTAJE;Cantabria;Libro y publicaciones periódicas;2020;22,0
PORCENTAJE;Cantabria;Libro y publicaciones periódicas;2019;21,9
PORCENTAJE;Cantabria;Libro y publicaciones periódicas;2018;21,6
PORCENTAJE;Cantabria;Libro y publicaciones periódicas;2017;23,6
PORCENTAJE;Cantabria;Libro y publicaciones periódicas;2016;25,0
PORCENTAJE;Cantabria;Servicios culturales;2023;16,8
PORCENTAJE;Cantabria;Servicios culturales;2022;12,1
PORCENTAJE;Cantabria;Servicios culturales;2021;10,2
PORCENTAJE;Cantabria;Servicios culturales;2020;9,2
PORCENTAJE;Cantabria;Servicios culturales;2019;18,3
PORCENTAJE;Cantabria;Servicios culturales;2018;16,2
PORCENTAJE;Cantabria;Servicios culturales;2017;16,7
PORCENTAJE;Cantabria;Servicios culturales;2016;19,7
PORCENTAJE;Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;29,8
PORCENTAJE;Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;30,4
PORCENTAJE;Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;36,2
PORCENTAJE;Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;32,3
PORCENTAJE;Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;25,3
PORCENTAJE;Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;28,5
PORCENTAJE;Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;24,4
PORCENTAJE;Cantabria;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;19,1
PORCENTAJE;Cantabria;Telefonía móvil y servicios relacionados con Internet;2023;29,7
PORCENTAJE;Cantabria;Telefonía móvil y servicios relacionados con Internet;2022;37,8
PORCENTAJE;Cantabria;Telefonía móvil y servicios relacionados con Internet;2021;33,3
PORCENTAJE;Cantabria;Telefonía móvil y servicios relacionados con Internet;2020;36,6
PORCENTAJE;Cantabria;Telefonía móvil y servicios relacionados con Internet;2019;34,5
PORCENTAJE;Cantabria;Telefonía móvil y servicios relacionados con Internet;2018;33,7
PORCENTAJE;Cantabria;Telefonía móvil y servicios relacionados con Internet;2017;35,3
PORCENTAJE;Cantabria;Telefonía móvil y servicios relacionados con Internet;2016;36,1
PORCENTAJE;Castilla y León;Libro y publicaciones periódicas;2023;21,1
PORCENTAJE;Castilla y León;Libro y publicaciones periódicas;2022;27,3
PORCENTAJE;Castilla y León;Libro y publicaciones periódicas;2021;31,0
PORCENTAJE;Castilla y León;Libro y publicaciones periódicas;2020;28,2
PORCENTAJE;Castilla y León;Libro y publicaciones periódicas;2019;23,9
PORCENTAJE;Castilla y León;Libro y publicaciones periódicas;2018;21,1
PORCENTAJE;Castilla y León;Libro y publicaciones periódicas;2017;26,0
PORCENTAJE;Castilla y León;Libro y publicaciones periódicas;2016;26,5
PORCENTAJE;Castilla y León;Servicios culturales;2023;24,1
PORCENTAJE;Castilla y León;Servicios culturales;2022;15,2
PORCENTAJE;Castilla y León;Servicios culturales;2021;11,9
PORCENTAJE;Castilla y León;Servicios culturales;2020;5,6
PORCENTAJE;Castilla y León;Servicios culturales;2019;20,6
PORCENTAJE;Castilla y León;Servicios culturales;2018;25,3
PORCENTAJE;Castilla y León;Servicios culturales;2017;18,3
PORCENTAJE;Castilla y León;Servicios culturales;2016;20,1
PORCENTAJE;Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;28,7
PORCENTAJE;Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;26,3
PORCENTAJE;Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;27,9
PORCENTAJE;Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;31,6
PORCENTAJE;Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;23,5
PORCENTAJE;Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;21,9
PORCENTAJE;Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;22,3
PORCENTAJE;Castilla y León;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;19,0
PORCENTAJE;Castilla y León;Telefonía móvil y servicios relacionados con Internet;2023;26,1
PORCENTAJE;Castilla y León;Telefonía móvil y servicios relacionados con Internet;2022;31,2
PORCENTAJE;Castilla y León;Telefonía móvil y servicios relacionados con Internet;2021;29,3
PORCENTAJE;Castilla y León;Telefonía móvil y servicios relacionados con Internet;2020;34,6
PORCENTAJE;Castilla y León;Telefonía móvil y servicios relacionados con Internet;2019;32,1
PORCENTAJE;Castilla y León;Telefonía móvil y servicios relacionados con Internet;2018;31,6
PORCENTAJE;Castilla y León;Telefonía móvil y servicios relacionados con Internet;2017;33,4
PORCENTAJE;Castilla y León;Telefonía móvil y servicios relacionados con Internet;2016;34,3
PORCENTAJE;Castilla-La Mancha;Libro y publicaciones periódicas;2023;16,9
PORCENTAJE;Castilla-La Mancha;Libro y publicaciones periódicas;2022;17,1
PORCENTAJE;Castilla-La Mancha;Libro y publicaciones periódicas;2021;18,3
PORCENTAJE;Castilla-La Mancha;Libro y publicaciones periódicas;2020;21,5
PORCENTAJE;Castilla-La Mancha;Libro y publicaciones periódicas;2019;17,1
PORCENTAJE;Castilla-La Mancha;Libro y publicaciones periódicas;2018;19,1
PORCENTAJE;Castilla-La Mancha;Libro y publicaciones periódicas;2017;16,2
PORCENTAJE;Castilla-La Mancha;Libro y publicaciones periódicas;2016;19,4
PORCENTAJE;Castilla-La Mancha;Servicios culturales;2023;18,9
PORCENTAJE;Castilla-La Mancha;Servicios culturales;2022;11,6
PORCENTAJE;Castilla-La Mancha;Servicios culturales;2021;7,5
PORCENTAJE;Castilla-La Mancha;Servicios culturales;2020;8,2
PORCENTAJE;Castilla-La Mancha;Servicios culturales;2019;20,3
PORCENTAJE;Castilla-La Mancha;Servicios culturales;2018;18,1
PORCENTAJE;Castilla-La Mancha;Servicios culturales;2017;18,5
PORCENTAJE;Castilla-La Mancha;Servicios culturales;2016;17,2
PORCENTAJE;Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;25,6
PORCENTAJE;Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;29,0
PORCENTAJE;Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;28,5
PORCENTAJE;Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;27,1
PORCENTAJE;Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;20,8
PORCENTAJE;Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;22,3
PORCENTAJE;Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;23,2
PORCENTAJE;Castilla-La Mancha;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;23,7
PORCENTAJE;Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2023;38,7
PORCENTAJE;Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2022;42,4
PORCENTAJE;Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2021;45,8
PORCENTAJE;Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2020;43,3
PORCENTAJE;Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2019;41,8
PORCENTAJE;Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2018;40,5
PORCENTAJE;Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2017;42,1
PORCENTAJE;Castilla-La Mancha;Telefonía móvil y servicios relacionados con Internet;2016;39,7
PORCENTAJE;Cataluña;Libro y publicaciones periódicas;2023;16,8
PORCENTAJE;Cataluña;Libro y publicaciones periódicas;2022;23,7
PORCENTAJE;Cataluña;Libro y publicaciones periódicas;2021;17,7
PORCENTAJE;Cataluña;Libro y publicaciones periódicas;2020;19,6
PORCENTAJE;Cataluña;Libro y publicaciones periódicas;2019;19,8
PORCENTAJE;Cataluña;Libro y publicaciones periódicas;2018;19,8
PORCENTAJE;Cataluña;Libro y publicaciones periódicas;2017;22,1
PORCENTAJE;Cataluña;Libro y publicaciones periódicas;2016;25,2
PORCENTAJE;Cataluña;Servicios culturales;2023;17,0
PORCENTAJE;Cataluña;Servicios culturales;2022;14,3
PORCENTAJE;Cataluña;Servicios culturales;2021;10,9
PORCENTAJE;Cataluña;Servicios culturales;2020;8,1
PORCENTAJE;Cataluña;Servicios culturales;2019;19,6
PORCENTAJE;Cataluña;Servicios culturales;2018;18,4
PORCENTAJE;Cataluña;Servicios culturales;2017;21,0
PORCENTAJE;Cataluña;Servicios culturales;2016;19,8
PORCENTAJE;Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;31,4
PORCENTAJE;Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;32,4
PORCENTAJE;Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;40,8
PORCENTAJE;Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;35,2
PORCENTAJE;Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;28,2
PORCENTAJE;Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;27,7
PORCENTAJE;Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;24,1
PORCENTAJE;Cataluña;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;22,4
PORCENTAJE;Cataluña;Telefonía móvil y servicios relacionados con Internet;2023;34,7
PORCENTAJE;Cataluña;Telefonía móvil y servicios relacionados con Internet;2022;29,6
PORCENTAJE;Cataluña;Telefonía móvil y servicios relacionados con Internet;2021;30,6
PORCENTAJE;Cataluña;Telefonía móvil y servicios relacionados con Internet;2020;37,1
PORCENTAJE;Cataluña;Telefonía móvil y servicios relacionados con Internet;2019;32,4
PORCENTAJE;Cataluña;Telefonía móvil y servicios relacionados con Internet;2018;34,0
PORCENTAJE;Cataluña;Telefonía móvil y servicios relacionados con Internet;2017;32,9
PORCENTAJE;Cataluña;Telefonía móvil y servicios relacionados con Internet;2016;32,6
PORCENTAJE;Comunitat Valenciana;Libro y publicaciones periódicas;2023;13,0
PORCENTAJE;Comunitat Valenciana;Libro y publicaciones periódicas;2022;15,5
PORCENTAJE;Comunitat Valenciana;Libro y publicaciones periódicas;2021;15,9
PORCENTAJE;Comunitat Valenciana;Libro y publicaciones periódicas;2020;18,1
PORCENTAJE;Comunitat Valenciana;Libro y publicaciones periódicas;2019;16,2
PORCENTAJE;Comunitat Valenciana;Libro y publicaciones periódicas;2018;17,2
PORCENTAJE;Comunitat Valenciana;Libro y publicaciones periódicas;2017;17,7
PORCENTAJE;Comunitat Valenciana;Libro y publicaciones periódicas;2016;21,3
PORCENTAJE;Comunitat Valenciana;Servicios culturales;2023;24,6
PORCENTAJE;Comunitat Valenciana;Servicios culturales;2022;16,6
PORCENTAJE;Comunitat Valenciana;Servicios culturales;2021;12,8
PORCENTAJE;Comunitat Valenciana;Servicios culturales;2020;8,9
PORCENTAJE;Comunitat Valenciana;Servicios culturales;2019;23,2
PORCENTAJE;Comunitat Valenciana;Servicios culturales;2018;21,4
PORCENTAJE;Comunitat Valenciana;Servicios culturales;2017;19,8
PORCENTAJE;Comunitat Valenciana;Servicios culturales;2016;17,3
PORCENTAJE;Comunitat Valenciana;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;32,1
PORCENTAJE;Comunitat Valenciana;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;35,3
PORCENTAJE;Comunitat Valenciana;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;38,2
PORCENTAJE;Comunitat Valenciana;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;39,2
PORCENTAJE;Comunitat Valenciana;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;26,7
PORCENTAJE;Comunitat Valenciana;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;25,6
PORCENTAJE;Comunitat Valenciana;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;25,1
PORCENTAJE;Comunitat Valenciana;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;25,3
PORCENTAJE;Comunitat Valenciana;Telefonía móvil y servicios relacionados con Internet;2023;30,2
PORCENTAJE;Comunitat Valenciana;Telefonía móvil y servicios relacionados con Internet;2022;32,6
PORCENTAJE;Comunitat Valenciana;Telefonía móvil y servicios relacionados con Internet;2021;33,1
PORCENTAJE;Comunitat Valenciana;Telefonía móvil y servicios relacionados con Internet;2020;33,8
PORCENTAJE;Comunitat Valenciana;Telefonía móvil y servicios relacionados con Internet;2019;34,0
PORCENTAJE;Comunitat Valenciana;Telefonía móvil y servicios relacionados con Internet;2018;35,8
PORCENTAJE;Comunitat Valenciana;Telefonía móvil y servicios relacionados con Internet;2017;37,4
PORCENTAJE;Comunitat Valenciana;Telefonía móvil y servicios relacionados con Internet;2016;36,1
PORCENTAJE;Extremadura;Libro y publicaciones periódicas;2023;17,1
PORCENTAJE;Extremadura;Libro y publicaciones periódicas;2022;16,3
PORCENTAJE;Extremadura;Libro y publicaciones periódicas;2021;19,2
PORCENTAJE;Extremadura;Libro y publicaciones periódicas;2020;17,6
PORCENTAJE;Extremadura;Libro y publicaciones periódicas;2019;17,4
PORCENTAJE;Extremadura;Libro y publicaciones periódicas;2018;17,3
PORCENTAJE;Extremadura;Libro y publicaciones periódicas;2017;17,1
PORCENTAJE;Extremadura;Libro y publicaciones periódicas;2016;18,1
PORCENTAJE;Extremadura;Servicios culturales;2023;15,5
PORCENTAJE;Extremadura;Servicios culturales;2022;21,3
PORCENTAJE;Extremadura;Servicios culturales;2021;11,7
PORCENTAJE;Extremadura;Servicios culturales;2020;5,1
PORCENTAJE;Extremadura;Servicios culturales;2019;13,9
PORCENTAJE;Extremadura;Servicios culturales;2018;12,0
PORCENTAJE;Extremadura;Servicios culturales;2017;12,9
PORCENTAJE;Extremadura;Servicios culturales;2016;18,0
PORCENTAJE;Extremadura;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;26,1
PORCENTAJE;Extremadura;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;23,1
PORCENTAJE;Extremadura;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;30,8
PORCENTAJE;Extremadura;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;32,1
PORCENTAJE;Extremadura;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;24,8
PORCENTAJE;Extremadura;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;22,0
PORCENTAJE;Extremadura;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;21,1
PORCENTAJE;Extremadura;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;16,1
PORCENTAJE;Extremadura;Telefonía móvil y servicios relacionados con Internet;2023;41,4
PORCENTAJE;Extremadura;Telefonía móvil y servicios relacionados con Internet;2022;39,3
PORCENTAJE;Extremadura;Telefonía móvil y servicios relacionados con Internet;2021;38,3
PORCENTAJE;Extremadura;Telefonía móvil y servicios relacionados con Internet;2020;45,1
PORCENTAJE;Extremadura;Telefonía móvil y servicios relacionados con Internet;2019;43,9
PORCENTAJE;Extremadura;Telefonía móvil y servicios relacionados con Internet;2018;48,7
PORCENTAJE;Extremadura;Telefonía móvil y servicios relacionados con Internet;2017;48,9
PORCENTAJE;Extremadura;Telefonía móvil y servicios relacionados con Internet;2016;47,8
PORCENTAJE;Galicia;Libro y publicaciones periódicas;2023;21,8
PORCENTAJE;Galicia;Libro y publicaciones periódicas;2022;21,7
PORCENTAJE;Galicia;Libro y publicaciones periódicas;2021;27,1
PORCENTAJE;Galicia;Libro y publicaciones periódicas;2020;28,1
PORCENTAJE;Galicia;Libro y publicaciones periódicas;2019;22,6
PORCENTAJE;Galicia;Libro y publicaciones periódicas;2018;22,3
PORCENTAJE;Galicia;Libro y publicaciones periódicas;2017;20,2
PORCENTAJE;Galicia;Libro y publicaciones periódicas;2016;21,4
PORCENTAJE;Galicia;Servicios culturales;2023;21,2
PORCENTAJE;Galicia;Servicios culturales;2022;14,6
PORCENTAJE;Galicia;Servicios culturales;2021;8,1
PORCENTAJE;Galicia;Servicios culturales;2020;8,8
PORCENTAJE;Galicia;Servicios culturales;2019;17,1
PORCENTAJE;Galicia;Servicios culturales;2018;12,7
PORCENTAJE;Galicia;Servicios culturales;2017;12,7
PORCENTAJE;Galicia;Servicios culturales;2016;12,5
PORCENTAJE;Galicia;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;27,4
PORCENTAJE;Galicia;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;30,5
PORCENTAJE;Galicia;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;33,1
PORCENTAJE;Galicia;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;28,3
PORCENTAJE;Galicia;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;19,6
PORCENTAJE;Galicia;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;24,3
PORCENTAJE;Galicia;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;26,8
PORCENTAJE;Galicia;Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;25,6
PORCENTAJE;Galicia;Telefonía móvil y servicios relacionados con Internet;2023;29,7
PORCENTAJE;Galicia;Telefonía móvil y servicios relacionados con Internet;2022;33,3
PORCENTAJE;Galicia;Telefonía móvil y servicios relacionados con Internet;2021;31,7
PORCENTAJE;Galicia;Telefonía móvil y servicios relacionados con Internet;2020;34,8
PORCENTAJE;Galicia;Telefonía móvil y servicios relacionados con Internet;2019;40,8
PORCENTAJE;Galicia;Telefonía móvil y servicios relacionados con Internet;2018;40,7
PORCENTAJE;Galicia;Telefonía móvil y servicios relacionados con Internet;2017;40,3
PORCENTAJE;Galicia;Telefonía móvil y servicios relacionados con Internet;2016;40,4
PORCENTAJE;Madrid (Comunidad de);Libro y publicaciones periódicas;2023;20,4
PORCENTAJE;Madrid (Comunidad de);Libro y publicaciones periódicas;2022;22,5
PORCENTAJE;Madrid (Comunidad de);Libro y publicaciones periódicas;2021;20,4
PORCENTAJE;Madrid (Comunidad de);Libro y publicaciones periódicas;2020;25,2
PORCENTAJE;Madrid (Comunidad de);Libro y publicaciones periódicas;2019;22,6
PORCENTAJE;Madrid (Comunidad de);Libro y publicaciones periódicas;2018;24,5
PORCENTAJE;Madrid (Comunidad de);Libro y publicaciones periódicas;2017;24,6
PORCENTAJE;Madrid (Comunidad de);Libro y publicaciones periódicas;2016;25,2
PORCENTAJE;Madrid (Comunidad de);Servicios culturales;2023;28,8
PORCENTAJE;Madrid (Comunidad de);Servicios culturales;2022;20,6
PORCENTAJE;Madrid (Comunidad de);Servicios culturales;2021;20,3
PORCENTAJE;Madrid (Comunidad de);Servicios culturales;2020;12,4
PORCENTAJE;Madrid (Comunidad de);Servicios culturales;2019;32,3
PORCENTAJE;Madrid (Comunidad de);Servicios culturales;2018;24,9
PORCENTAJE;Madrid (Comunidad de);Servicios culturales;2017;23,0
PORCENTAJE;Madrid (Comunidad de);Servicios culturales;2016;23,8
PORCENTAJE;Madrid (Comunidad de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;25,2
PORCENTAJE;Madrid (Comunidad de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;30,0
PORCENTAJE;Madrid (Comunidad de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;33,0
PORCENTAJE;Madrid (Comunidad de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;33,6
PORCENTAJE;Madrid (Comunidad de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;22,2
PORCENTAJE;Madrid (Comunidad de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;24,6
PORCENTAJE;Madrid (Comunidad de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;23,4
PORCENTAJE;Madrid (Comunidad de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;22,7
PORCENTAJE;Madrid (Comunidad de);Telefonía móvil y servicios relacionados con Internet;2023;25,5
PORCENTAJE;Madrid (Comunidad de);Telefonía móvil y servicios relacionados con Internet;2022;26,9
PORCENTAJE;Madrid (Comunidad de);Telefonía móvil y servicios relacionados con Internet;2021;26,2
PORCENTAJE;Madrid (Comunidad de);Telefonía móvil y servicios relacionados con Internet;2020;28,8
PORCENTAJE;Madrid (Comunidad de);Telefonía móvil y servicios relacionados con Internet;2019;22,8
PORCENTAJE;Madrid (Comunidad de);Telefonía móvil y servicios relacionados con Internet;2018;26,0
PORCENTAJE;Madrid (Comunidad de);Telefonía móvil y servicios relacionados con Internet;2017;29,1
PORCENTAJE;Madrid (Comunidad de);Telefonía móvil y servicios relacionados con Internet;2016;28,3
PORCENTAJE;Murcia (Región de);Libro y publicaciones periódicas;2023;19,7
PORCENTAJE;Murcia (Región de);Libro y publicaciones periódicas;2022;17,1
PORCENTAJE;Murcia (Región de);Libro y publicaciones periódicas;2021;17,1
PORCENTAJE;Murcia (Región de);Libro y publicaciones periódicas;2020;14,4
PORCENTAJE;Murcia (Región de);Libro y publicaciones periódicas;2019;21,8
PORCENTAJE;Murcia (Región de);Libro y publicaciones periódicas;2018;18,2
PORCENTAJE;Murcia (Región de);Libro y publicaciones periódicas;2017;20,0
PORCENTAJE;Murcia (Región de);Libro y publicaciones periódicas;2016;22,3
PORCENTAJE;Murcia (Región de);Servicios culturales;2023;12,9
PORCENTAJE;Murcia (Región de);Servicios culturales;2022;19,1
PORCENTAJE;Murcia (Región de);Servicios culturales;2021;9,1
PORCENTAJE;Murcia (Región de);Servicios culturales;2020;5,8
PORCENTAJE;Murcia (Región de);Servicios culturales;2019;18,6
PORCENTAJE;Murcia (Región de);Servicios culturales;2018;14,8
PORCENTAJE;Murcia (Región de);Servicios culturales;2017;17,4
PORCENTAJE;Murcia (Región de);Servicios culturales;2016;13,6
PORCENTAJE;Murcia (Región de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;28,6
PORCENTAJE;Murcia (Región de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2022;29,4
PORCENTAJE;Murcia (Región de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2021;33,2
PORCENTAJE;Murcia (Región de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2020;38,8
PORCENTAJE;Murcia (Región de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2019;24,4
PORCENTAJE;Murcia (Región de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2018;24,7
PORCENTAJE;Murcia (Región de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2017;22,9
PORCENTAJE;Murcia (Región de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2016;19,2
PORCENTAJE;Murcia (Región de);Telefonía móvil y servicios relacionados con Internet;2023;38,8
PORCENTAJE;Murcia (Región de);Telefonía móvil y servicios relacionados con Internet;2022;34,4
PORCENTAJE;Murcia (Región de);Telefonía móvil y servicios relacionados con Internet;2021;40,6
PORCENTAJE;Murcia (Región de);Telefonía móvil y servicios relacionados con Internet;2020;41,1
PORCENTAJE;Murcia (Región de);Telefonía móvil y servicios relacionados con Internet;2019;35,2
PORCENTAJE;Murcia (Región de);Telefonía móvil y servicios relacionados con Internet;2018;42,3
PORCENTAJE;Murcia (Región de);Telefonía móvil y servicios relacionados con Internet;2017;39,8
PORCENTAJE;Murcia (Región de);Telefonía móvil y servicios relacionados con Internet;2016;44,9
PORCENTAJE;Navarra (Comunidad Foral de);Libro y publicaciones periódicas;2023;21,3
PORCENTAJE;Navarra (Comunidad Foral de);Libro y publicaciones periódicas;2022;28,1
PORCENTAJE;Navarra (Comunidad Foral de);Libro y publicaciones periódicas;2021;25,2
PORCENTAJE;Navarra (Comunidad Foral de);Libro y publicaciones periódicas;2020;29,0
PORCENTAJE;Navarra (Comunidad Foral de);Libro y publicaciones periódicas;2019;23,4
PORCENTAJE;Navarra (Comunidad Foral de);Libro y publicaciones periódicas;2018;24,5
PORCENTAJE;Navarra (Comunidad Foral de);Libro y publicaciones periódicas;2017;26,1
PORCENTAJE;Navarra (Comunidad Foral de);Libro y publicaciones periódicas;2016;27,2
PORCENTAJE;Navarra (Comunidad Foral de);Servicios culturales;2023;32,7
PORCENTAJE;Navarra (Comunidad Foral de);Servicios culturales;2022;19,2
PORCENTAJE;Navarra (Comunidad Foral de);Servicios culturales;2021;21,5
PORCENTAJE;Navarra (Comunidad Foral de);Servicios culturales;2020;13,0
PORCENTAJE;Navarra (Comunidad Foral de);Servicios culturales;2019;24,1
PORCENTAJE;Navarra (Comunidad Foral de);Servicios culturales;2018;27,0
PORCENTAJE;Navarra (Comunidad Foral de);Servicios culturales;2017;22,6
PORCENTAJE;Navarra (Comunidad Foral de);Servicios culturales;2016;16,6
PORCENTAJE;Navarra (Comunidad Foral de);Soportes, equipos y accesorios audiovisuales y de tratamiento de la información;2023;24,0
