Indicador;Ingresos mensuales en el hogar;periodo;Total
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Menos de 1.000 euros;2017;2,0
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Menos de 1.000 euros;2016;2,2
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.000 y 1.499 euros;2023;1,6
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.000 y 1.499 euros;2022;1,6
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.000 y 1.499 euros;2021;1,6
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.000 y 1.499 euros;2020;1,9
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.000 y 1.499 euros;2019;2,1
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.000 y 1.499 euros;2018;2,0
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.000 y 1.499 euros;2017;2,3
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.000 y 1.499 euros;2016;2,4
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.500 y 1.999 euros;2023;1,7
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.500 y 1.999 euros;2022;1,8
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.500 y 1.999 euros;2021;1,9
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.500 y 1.999 euros;2020;2,0
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.500 y 1.999 euros;2019;2,2
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.500 y 1.999 euros;2018;2,2
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.500 y 1.999 euros;2017;2,5
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 1.500 y 1.999 euros;2016;2,7
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.000 y 2.499 euros;2023;1,7
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.000 y 2.499 euros;2022;1,8
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.000 y 2.499 euros;2021;1,9
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.000 y 2.499 euros;2020;2,1
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.000 y 2.499 euros;2019;2,1
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.000 y 2.499 euros;2018;2,4
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.000 y 2.499 euros;2017;2,5
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.000 y 2.499 euros;2016;2,9
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.500 y 2.999 euros;2023;1,8
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.500 y 2.999 euros;2022;1,8
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.500 y 2.999 euros;2021;2,0
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.500 y 2.999 euros;2020;2,2
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.500 y 2.999 euros;2019;2,3
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.500 y 2.999 euros;2018;2,4
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.500 y 2.999 euros;2017;2,5
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;Entre 2.500 y 2.999 euros;2016;2,8
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;3.000 y más euros;2023;1,9
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;3.000 y más euros;2022;2,1
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;3.000 y más euros;2021;2,2
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;3.000 y más euros;2020;2,2
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;3.000 y más euros;2019;2,3
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;3.000 y más euros;2018;2,5
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;3.000 y más euros;2017;2,7
EN PORCENTAJE DEL GASTO EN EL TOTAL DE BIENES Y SERVICIOS;3.000 y más euros;2016;3,0
GASTO MEDIO POR HOGAR (Euros);Total;2023;585,6
GASTO MEDIO POR HOGAR (Euros);Total;2022;596,6
GASTO MEDIO POR HOGAR (Euros);Total;2021;571,0
