Comunidad autónoma;Indicadores;Nacionalidad de la película;periodo;Total
Ceuta y Melilla;Espectadores por sala;Total;2014;15.646
Ceuta y Melilla;Espectadores por sala;Total;2013;14.998
Ceuta y Melilla;Asistencia media por habitante;Total;2023;0,6
Ceuta y Melilla;Asistencia media por habitante;Total;2022;0,4
Ceuta y Melilla;Asistencia media por habitante;Total;2021;0,3
Ceuta y Melilla;Asistencia media por habitante;Total;2020;0,2
Ceuta y Melilla;Asistencia media por habitante;Total;2019;0,8
Ceuta y Melilla;Asistencia media por habitante;Total;2018;0,7
Ceuta y Melilla;Asistencia media por habitante;Total;2017;0,8
Ceuta y Melilla;Asistencia media por habitante;Total;2016;0,9
Ceuta y Melilla;Asistencia media por habitante;Total;2015;0,8
Ceuta y Melilla;Asistencia media por habitante;Total;2014;0,7
Ceuta y Melilla;Asistencia media por habitante;Total;2013;0,7
